Date,Open,High,Low,Close,Adj Close,Volume
30-10-2021,330752.875,331697.3438,318633.2188,324114.7188,324114.7188,1.09512E+12
31-10-2021,323896.9688,329269.75,313127.625,321295.4375,321295.4375,1.3111E+12
01-11-2021,321306.125,327721.3125,312107.875,323612.5,323612.5,1.34584E+12
02-11-2021,323453.4375,343673,320921.4063,342541.9688,342541.9688,1.55361E+12
03-11-2021,342907,347036.1875,332487.25,342939.9063,342939.9063,1.57956E+12
04-11-2021,342752.7188,342889.5,329891.1563,337932.3438,337932.3438,1.37154E+12
05-11-2021,337939.75,339715.8438,329956.4063,332839.5625,332839.5625,1.11925E+12
06-11-2021,332572.8125,336159.875,321616.6875,335461.3125,335461.3125,1.07051E+12
07-11-2021,335639.4375,344315.3438,334675.125,342810.8438,342810.8438,1.00467E+12
08-11-2021,342743.7188,356462.5938,342743.7188,355703.5313,355703.5313,1.42596E+12
09-11-2021,355554.5,357294.6875,349691.875,351223.5,351223.5,1.54537E+12
10-11-2021,351096.9688,361243.5,333675.9375,344955.25,344955.25,1.69258E+12
11-11-2021,344901.625,355141.375,340850.1563,351576.0938,351576.0938,1.33285E+12
12-11-2021,351124.4063,357409.5,335534.6563,346987.2188,346987.2188,1.36175E+12
13-11-2021,346957.75,349589.3438,340717.4375,345868.875,345868.875,1.07501E+12
14-11-2021,345658.5938,348722.875,335866.0313,343963.0313,343963.0313,9.05042E+11
15-11-2021,344017.4375,354561.375,338342.1563,339218.4375,339218.4375,1.21142E+12
16-11-2021,340184.0938,364228.4688,308245.2813,313945.7188,313945.7188,2.04148E+12
17-11-2021,313762.9688,319351.3438,305084.6875,318396.0938,318396.0938,1.64734E+12
18-11-2021,318411.5938,322437.5,293678.2813,296752.125,296752.125,1.58612E+12
19-11-2021,296387.0938,320594.6563,295437.0313,319410.8125,319410.8125,1.53276E+12
20-11-2021,319414.0938,329523.1563,312792.4063,327705.7188,327705.7188,1.14797E+12
21-11-2021,327873.9688,328639.0938,316266.5313,317327.6563,317327.6563,1.04753E+12
22-11-2021,317088.0938,319725.9375,300281.5,304304.125,304304.125,1.47016E+12
23-11-2021,304395.125,326623.9688,302913.3438,323157.9688,323157.9688,1.64778E+12
24-11-2021,323103.8125,325847.2188,310984.6875,316408.8438,316408.8438,1.62966E+12
25-11-2021,318753.0625,339044.2813,317139.625,318498.5625,318498.5625,1.39368E+12
26-11-2021,336936.5,339070.2188,294633.4063,302531.8125,302531.8125,1.97253E+12
27-11-2021,303439.2188,314298.25,302727.3125,307485.5313,307485.5313,1.23955E+12
28-11-2021,307841.0625,322560.5313,299459.2188,322300.6563,322300.6563,1.19729E+12
29-11-2021,322487.7813,334812.3438,321734.1563,333628.0313,333628.0313,1.43254E+12
30-11-2021,333827.875,356469.5313,327454.8438,347597.8125,347597.8125,2.14844E+12
01-12-2021,347012.4688,358507.4063,339847.6563,344107.5313,344107.5313,2.07311E+12
02-12-2021,344058.25,346868.0938,333049.9688,338262.6563,338262.6563,1.6123E+12
03-12-2021,338491.5938,349241.1563,308571.4063,317896.625,317896.625,1.94921E+12
04-12-2021,318428.0938,319555.125,265534.4063,309906.25,309906.25,2.89468E+12
05-12-2021,309909.375,319485.4375,303935.4688,315909.9375,315909.9375,1.92128E+12
06-12-2021,315960.9063,329890.4375,296508.5938,328612,328612,2.12827E+12
07-12-2021,328600.6563,334004.1563,321589.0313,325393.8125,325393.8125,1.68661E+12
08-12-2021,325138.375,335955.0313,319698.9375,334654.5313,334654.5313,1.41E+12
09-12-2021,334177.1563,337894.5313,308562.7188,311454.5313,311454.5313,1.68557E+12
10-12-2021,310983.75,319647.8125,295421.7188,296234.875,296234.875,2.1233E+12
11-12-2021,296323.6875,310112.2813,291502.25,309264.5313,309264.5313,1.44859E+12
12-12-2021,309291.7188,316015.25,302344.25,313099.8125,313099.8125,1.06457E+12
13-12-2021,313244.1875,313921.375,279063.7813,286947.125,286947.125,1.81984E+12
14-12-2021,286840.6563,294047.25,280897.3438,284831.1875,284831.1875,1.81272E+12
15-12-2021,293714.375,311815.8125,279921.4063,306248,306248,2.01284E+12
